[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1650,04/10/2023,Bloom1151 (1),Name 990,9.23,,Jim Mackraz,04/13/2023 01:25:03 AM,School Projects
Donor 1651,04/16/2023,Bloom1153 (1),Name 991,4.89,,Jim Mackraz,04/23/2023 12:34:36 PM,OliveSeed Fdn - Operations
Donor 1652,04/18/2023,Bloom1154 (1),Name 992,144.15,,Jim Mackraz,04/23/2023 12:34:36 PM,OliveSeed Fdn - Operations
Donor 1653,04/20/2023,Bloom1152 (1),Name 993,750.00,,Jim Mackraz,04/21/2023 01:36:11 AM,OliveSeed Fdn - Operations
Donor 1654,04/23/2023,Bloom1164 (1),Name 994,99.49,,Jim Mackraz,06/27/2023 01:32:05 AM,OliveSeed Fdn - Operations
Donor 1655,04/24/2023,Bloom1161 (1),Name 995,"2,500.00",,Jim Mackraz,05/21/2023 01:29:51 AM,MLP
Donor 1656,04/25/2023,Bloom1155 (1),Name 996,500.00,,Jim Mackraz,04/26/2023 01:34:36 AM,OliveSeed Fdn - Operations
Donor 1657,05/01/2023,Bloom1156 (1),Name 997,"6,000.00",,Jim Mackraz,05/02/2023 01:27:29 AM,Women's Work Center
Donor 1658,05/04/2023,Bloom1160 (1),Name 998,300.00,,Jim Mackraz,05/15/2023 01:32:29 AM,OliveSeed Fdn - Operations
Donor 1659,05/04/2023,Bloom1183 (3),Name 999,7.35,,Jim Mackraz,07/16/2023 05:25:41 PM,OliveSeed Fdn - Operations
Donor 1660,05/07/2023,Bloom1165 (1),Name 1000,39.87,,Jim Mackraz,06/27/2023 01:32:05 AM,OliveSeed Fdn - Operations
Donor 1661,05/09/2023,Bloom1157 (1),Name 1001,"15,000.00",,Jim Mackraz,05/12/2023 01:26:50 AM,Kenya Region
Donor 1662,05/09/2023,Bloom1158 (1),Name 1002,350.00,,Jim Mackraz,05/12/2023 01:26:50 AM,Kenya Region
Donor 1663,05/10/2023,Bloom1166 (1),Name 1003,9.23,,Jim Mackraz,06/27/2023 01:32:06 AM,School Projects
Donor 1664,05/11/2023,Bloom1159 (1),Name 1004,"2,424.00",,Jim Mackraz,05/12/2023 01:26:51 AM,Kenya Region
Donor 1665,05/16/2023,Bloom1162 (1),Name 1005,"1,850.00",,Jim Mackraz,05/25/2023 01:24:42 AM,OliveSeed Fdn - Operations
Donor 1666,05/16/2023,Bloom1167 (1),Name 1006,4.89,,Jim Mackraz,06/27/2023 01:32:06 AM,OliveSeed Fdn - Operations
Donor 1667,05/18/2023,Bloom1168 (1),Name 1007,144.15,,Jim Mackraz,06/27/2023 01:32:06 AM,OliveSeed Fdn - Operations
Donor 1668,05/22/2023,Cash Donation 222,Name 1008,19.32,9215319235,Jim Mackraz,07/16/2023 05:03:03 PM,OliveSeed Fdn - Operations
Donor 1669,05/23/2023,Bloom1169 (1),Name 1009,99.49,,Jim Mackraz,06/27/2023 01:32:07 AM,OliveSeed Fdn - Operations
Donor 1670,05/31/2023,Bloom1170 (1),Name 1010,503.41,,Jim Mackraz,06/27/2023 01:32:07 AM,OliveSeed Fdn - Operations
Donor 1671,06/07/2023,Bloom1171 (1),Name 1011,39.87,,Jim Mackraz,06/27/2023 01:32:07 AM,OliveSeed Fdn - Operations
Donor 1672,06/10/2023,Bloom1172 (1),Name 1012,9.23,,Jim Mackraz,06/27/2023 01:32:07 AM,School Projects
Donor 1673,06/16/2023,Bloom1173 (1),Name 1013,4.89,,Jim Mackraz,06/27/2023 01:32:08 AM,OliveSeed Fdn - Operations
